İl Toplam CHP DP BĞMZ İl Toplam CHP DP BĞMZ
Bitlis 2 1 1 0 0 0 0 0 0 0 Mardin 6 2 1 0 0 0 0 0 1 2
Bolu 5 4 1 0 0 0 0 0 0 0 Muğla 5 3 2 0 0 0 0 0 0 0
Burdur 3 2 1 0 0 0 0 0 0 0 Muş 3 0 1 0 0 0 0 0 1 1
Bursa 11 8 3 0 0 0 0 0 0 0 Nevşehir 3 2 1 0 0 0 0 0 0 0
Çanakkale 5 4 1 0 0 0 0 0 0 0 Niğde 5 3 2 0 0 0 0 0 0 0
Çankırı 4 3 1 0 0 0 0 0 0 0 Ordu 8 4 4 0 0 0 0 0 0 0
Çorum 7 5 1 0 0 0 1 0 0 0 Rize 4 3 1 0 0 0 0 0 0 0
Denizli 7 5 2 0 0 0 0 0 0 0 Sakarya 6 4 2 0 0 0 0 0 0 0
Diyarbakır 7 4 0 0 0 0 0 0 2 1 Samsun 11 6 5 0 0 0 0 0 0 0
Edirne 4 3 1 0 0 0 0 0 0 0 Siirt 4 1 1 1 0 0 0 0 1 0
Elazığ 5 2 2 0 0 0 0 0 0 1 Sinop 4 2 1 0 1 0 0 0 0 0
Erzincan 4 2 2 0 0 0 0 0 0 0 Sivas 10 4 4 0 0 0 2 0 0 0
Erzurum 9 7 2 0 0 0 0 0 0 0 Tekirdağ 4 2 1 1 0 0 0 0 0 0
Eskişehir 6 4 2 0 0 0 0  0 0 Tokat 7 3 1 1 0 0 1 0 0 1
Gaziantep 7 3 3 1 0 0 0 0 0 0 Trabzon 9 5 4 0 0 0 0 0 0 0
Giresun 6 4 2 0 0 0 0 0 0 0 Tunceli 2 1 1 0 0 0 0 0 0 0
Gümüşhane 4 2 2 0 0 0 0 0 0 0 Urfa 6 4 2 0 0 0 0 0 0 0
Hakkari 1 0 0 1 0 0 0 0 0 0 Uşak 3 2 1 0 0 0 0 0 0 0
Hatay 7 3 3 0 0 0 0 0 0 1 Van 4 2 0 1 0 0 0 0 0 1
Isparta 4 4 0 0 0 0 0 0 0 0 Yozgat 6 3 2 0 1 0 0 0 0 0
İçel 7 4 3 0 0 0 0 0 0 0 Zonguldak 9 6 3 0 0 0 0 0 0 0
İstanbul 33 17 12 0 1 0 1 2 0 0 15

İl Toplam AP CHP CGP DEMOKRATİKPARTİ MHP MSP TBP BĞMZ İl Toplam AP CHP CGP DEMOKRATİKPARTİ MHP MSP TBP BĞMZ
Toplam 450 149 185 13 45 3 48 1 6
Adana 13 3 6 0 2 1 1 0 0 İzmir 18 8 9 0 1 0 0 0 0
Adıyaman 4 1 2 0 0 0 1 0 0 Kars 8 1 5 0 1 0 1 0 0
Afyon 7 3 2 0 1 0 1 0 0 Kastamonu 6 3 2 1 0 0 0 0 0
Ağrı 4 1 1 1 0 0 1 0 0 Kayseri 8 3 2 2 0 0 1 0 0
Amasya 4 1 2 0 0 0 1 0 0 Kırklareli 3 1 2 0 0 0 0 0 0
Ankara 26 8 13 0 2 1 2 0 0 Kırşehir 3 1 2 0 0 0 0 0 0
Antalya 7 3 3 0 1 0 0 0 0 Kocaeli 5 2 2 0 0 0 1 0 0
Artvin 3 1 2 0 0 0 0 0 0 Konya 16 2 4 1 6 0 3 0 0
Aydın 7 3 2 0 2 0 0 0 0 Kütahya 5 3 1 0 1 0 0 0 0
Balıkesir 9 5 3 0 0 0 1 0 0 Malatya 6 1 4 0 0 0 1 0 0
Bilecik 2 1 1 0 0 0 0 0 0 Manisa 10 5 3 0 1 0 1 0 0
Bingöl 2 0 1 0 0 0 1 0 0 KahramanMaraş 7 1 3 0 1 0 2 0 0
Bitlis 2 1 0 0 0 0 0 0 1 Mardin 6 1 1 1 1 0 1 0 1
Bolu 5 2 1 1 0 0 1 0 0 Muğla 5 2 2 0 1 0 0 0 0
Burdur 3 1 2 0 0 0 0 0 0 Muş 3 0 1 0 0 0 1 0 1
Bursa 11 6 3 0 1 0 1 0 0 Nevşehir 3 1 1 0 0 0 1 0 0
Çanakkale 5 3 2 0 0 0 0 0 0 Niğde 5 2 1 0 2 0 0 0 0
Çankırı 3 2 0 0 1 0 0 0 0 Ordu 8 2 3 0 2 0 0 0 1
Çorum 7 1 3 0 1 0 2 0 0 Rize 4 1 2 0 0 0 1 0 0
Denizli 6 2 2 0 2 0 0 0 0 Sakarya 6 2 2 0 1 0 1 0 0
Diyarbakır 7 2 3 0 1 0 1 0 0 Samsun 10 4 4 0 1 0 1 0 0
Edirne 4 2 2 0 0 0 0 0 0 Siirt 4 1 1 1 0 0 0 0 1
Elazığ 5 1 2 0 0 0 2 0 0 Sinop 3 1 2 0 0 0 0 0 0
Erzincan 3 1 2 0 0 0 0 0 0 Sivas 9 2 3 0 0 0 3 1 0
Erzurum 9 2 2 0 1 0 3 0 1 Tekirdağ 4 2 2 0 0 0 0 0 0
Eskişehir 6 3 3 0 0 0 0 0 0 Tokat  2 3 0 1 0 1 0 0
Gaziantep 8 1 4 1 1 0 1 0 0 Trabzon 8 2 4 0 1 0 1 0 0
Giresun 6 2 3 0 1 0 0 0 0 Tunceli 2 0 2 0 0 0 0 0 0
Gümüşhane 4 2 1 0 0 0 1 0 0 Urfa 7 3 2 0 1 0 1 0 0
Hakkari 1 0 1 0 0 0 0 0 0 Uşak 3 1 2 0 0 0 0 0 0
Hatay 7 2 4 0 1 0 0 0 0 Van 4 1 0 3 0 0 0 0 0
Isparta 4 4 0 0 0 0 0 0 0 Yozgat 6 1 2 0 1 1 1 0 0
İçel 7 2 4 0 1 0 0 0 0 Zonguldak 9 4 4 0 0 0 1 0 0
İstanbul 38 11 20 1 3 0 3 0 0

İl Toplam AP CHP CGP DEMOKRATİKPARTİ MHP MSP BĞMZ İl Toplam AP CHP CGP DEMOKRATİKPARTİ MHP MSP BĞMZ
Toplam 450 189 213 3 1 16 24 4
